,Sentence,Polarity,Pred,Pred_polarity
307,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0,0.6124,1.0
308,Never heard of any of them except Cole who was totally unbelievable in the part.  ,0,0.2716,1.0
310,The stories were as unbelievable as the actors.  ,0,0.2023,1.0
311,Lame would be the best way to describe it.  ,0,0.0258,1.0
315,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0,0.128,1.0
317,You can find better movies at youtube.  ,0,0.2732,1.0
318,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0,-0.0946,1.0
319,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",0,0.0,1.0
324,"Seriously, it's not worth wasting your, or your kid's time on.  ",0,-0.0088,1.0
335,Nothing new there.  ,0,0.0,1.0
336,That was done in the second movie.  ,0,0.0,1.0
337,The movie has almost no action scenes in it and very little comedy.  ,0,0.1477,1.0
338,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0,0.0,1.0
339,What on earth is Irons doing in this film?  ,0,0.0,1.0
350,The football scenes at the end were perplexing.  ,0,0.0,1.0
359,This scene is very strong and unpleasant.  ,0,0.0591,1.0
376,Why was this film made?  ,0,0.0,1.0
377,The film has an ultra-cheap look to it.  ,0,0.0,1.0
378,The result is a film that just don't look right.  ,0,0.0,1.0
379,None of them are engaging or exciting.  ,0,0.6808,1.0
383,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,1,-0.7579,0.0
386,I love the Scream movies and all horror movies and this one ranks way up there.  ,1,-0.296,0.0
387,If you want a real scare rent this one!  ,1,-0.4404,0.0
400,"In fact, this stinker smells like a direct-to-video release.  ",0,-0.0964,1.0
403,"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",0,0.7579,1.0
405,The only place good for this film is in the garbage.  ,0,0.4404,1.0
423,I struggle to find anything bad to say about it.  ,1,-0.7003,0.0
424,"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",1,-0.4588,0.0
432,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1,-0.1531,0.0
433,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1,-0.3182,0.0
435,It's very slow.  ,0,0.0,1.0
436,Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,0,0.4215,1.0
437,) Don't waste your time.  ,0,0.3252,1.0
439,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0,0.4404,1.0
442,This movie is possibly one of the most creative works of horror ever.  ,1,-0.1298,0.0
444," With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  ",1,-0.9976,0.0
445,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",1,-0.4588,0.0
446,"Otherwise, don't even waste your time on this.  ",0,0.3252,1.0
452,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  ,0,0.0,1.0
455,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  ",0,0.0,1.0
456,I highly doubt that anyone could ever like this trash.  ,0,-0.0754,1.0
457,This is not movie-making.  ,0,0.0,1.0
461,I didn't realize how wonderful the short really is until the last two scenes.  ,1,-0.4585,0.0
464,"I agree with Jessica, this movie is pretty bad.  ",0,0.296,1.0
466,The story line is totally predictable.  ,0,0.0,1.0
468,I've seen soap operas more intelligent than this movie.  ,0,0.5095,1.0
499,"Just whatever you do, avoid ""Groove"" as its the antithesis of all that is good about Human Traffic.  ",0,0.1779,1.0
501,The movie seemed a little slow at first.  ,0,0.0,1.0
503,"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  ",1,-0.34,0.0
508,"Their on-screen chemistry, critical to the entire film, is genuine.  ",1,-0.3182,0.0
518,"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  ",0,0.4588,1.0
534,It was a riot to see Hugo Weaving play a sex-obsessed gay real estate salesman who uses his clients' houses for his trysts with the flaming Darren (Tom Hollander).  ,1,-0.4939,0.0
540,I never walked out of a movie faster.  ,0,0.0,1.0
