,Sentence,Polarity,Pred
183,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0,1
195,"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",1,0
199,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",0,1
204,"To be honest with you, this is unbelievable nonsense and very foolish.  ",0,1
208,And the accents are absolutely abysmal!  ,0,1
211,I believe that Pitch Black was done well.  ,1,0
214,Omit watching this.  ,0,1
219,Don't miss it.  ,1,0
221,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1,0
233,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0,1
235,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1,0
238,I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,1,0
242,There's barely a boring moment in the film and there are plenty of humorous parts.  ,1,0
247,The least said about the acting the better.  ,0,1
249,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,1,0
250,Nothing short of magnificent photography/cinematography in this film.  ,1,0
252,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,1,0
257,"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",1,0
258,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1,0
261,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1,0
265,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0,1
271,Raw and sublimely moving.  ,1,0
273,All of the main players are mesmerising.  ,1,0
274,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1,0
281,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1,0
285,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",0,1
287,10 out of 10 stars.  ,1,0
288,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0,1
290,Punishment Park is a brilliant piece of cinema.  ,1,0
291,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",1,0
303,"The results, well, are a shame.  ",0,1
310,The stories were as unbelievable as the actors.  ,0,1
311,Lame would be the best way to describe it.  ,0,1
316,"The lines, the cuts, the audio, everything is wrong.  ",0,1
317,You can find better movies at youtube.  ,0,1
320,That's how I'd describe this painfully dreary time-waster of a film.  ,0,1
326,It will drive you barking mad!  ,0,1
331,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",1,0
334,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1,0
336,That was done in the second movie.  ,0,1
338,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0,1
339,What on earth is Irons doing in this film?  ,0,1
348,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1,0
349,I guess I liked the details of his dysfunction--he was believable.  ,1,0
358,A standout scene.  ,1,0
359,This scene is very strong and unpleasant.  ,0,1
366,And it was boring.  ,0,1
367,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0,1
369,"It's a fresh, subtle, and rather sublime effect.  ",1,0
375,You won't forget this movie!  ,1,0
376,Why was this film made?  ,0,1
390,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1,0
391,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1,0
394,"Predictable, but not a bad watch.  ",1,0
400,"In fact, this stinker smells like a direct-to-video release.  ",0,1
405,The only place good for this film is in the garbage.  ,0,1
408,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",1,0
409,Cinematography: The film was shot in an interesting way.  ,1,0
410,"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1,0
415,But this understated film leaves a lasting impression.  ,1,0
423,I struggle to find anything bad to say about it.  ,1,0
426,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1,0
428,Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,1,0
432,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1,0
433,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1,0
444," With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  ",1,0
445,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  ",1,0
448,"As for the killer, don't expect anything original or even remotely frightening.  ",0,1
456,I highly doubt that anyone could ever like this trash.  ,0,1
467,"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  ",1,0
468,I've seen soap operas more intelligent than this movie.  ,0,1
471,Not easy to watch.  ,0,1
473,It was a long time that i didn't see a so charismatic actor on screen.  ,1,0
475,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  ,1,0
477,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  ",1,0
482,The two main characters may be two of the most believable children I ever saw put on screen.  ,1,0
489,Go rent it.  ,1,0
491,"It's the one movie that never ceases to interest me, simply because it keeps me alert, as I try to attempt to decipher it's meanings.  ",1,0
498,It presents a idyllic yet serious portrayal of the ups and downs of the characters lives.  ,1,0
502,But it picked up speed and got right to the point.  ,1,0
503,"It showed exactly how the government and the scientist argued for humanity and the reasons of the ""gadget"".  ",1,0
507,"Both actors truly understand and become their particular character, delivering a convincing, sincere performance.  ",1,0
509,"The film's dialogue is natural, real to life.  ",1,0
510,"The writer, Gorman Bechard, undoubtedly did his homework because all references are industry and character-age appropriate.  ",1,0
516,Enough can not be said of the remarkable animation in this film.  ,1,0
518,"If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!  ",0,1
527,I keep watching it over and over.  ,1,0
