,id,text,sentiment,Pred,Pred_polarity
229,7d41dbe15c, ... but i could barely speak! He was probably thinking `who is the weirdo?` LOOOOL. Say sorry to him for me please?  x <3,0,0.7907,1.0
247,a862c3b17c,I don`t believe there`s anything worse than losing a best friend,0,0.4019,1.0
256,e5af32e35c,"I am going to work than, ill be home, and im going to look for my camera since it must be lost in my house. everyone have a wonderful day",1,-0.1027,0.0
259,1b6414112c, dope background,1,0.0,0.0
260,b9953ea873,Happy Star Wars Day! May the Fourth be with you.,1,0.1007,0.0
275,589aae6fa5, People from England can watch this one  Thankyou,1,0.0,0.0
281,42385b0ddf, i won`t make u cry,1,-0.4767,0.0
282,8d623622d0,Starting my 2nd shift! Im going to miss like an hour of the lakers game!,0,0.3578,1.0
285,d12ef9784f," hah yeah, its that bad, not gonna lie. :o Have fun",0,0.3173,1.0
299,5af0e5787e,I always forget how much fun kyle is!,0,0.4003,1.0
314,2db64de360,wow...you leave facebook alone for the weekend and get 60 new notifications. WHEW!,1,-0.3595,0.0
318,4e077ecdc0,KICKIN BAK......NEED 2 DO MY HW.....I MISS U BABE  LOLZ,0,0.4767,1.0
319,ff354645af, Am happy to provide backup support for all murderous rampages,1,0.296,0.0
320,282b4bc5b5," - yay for getting errands done! oh, an assortment of out-of-my-control things. topped off w/ a **** race, haha",0,0.7712,1.0
321,56e5e02e92, a great song by East Clubbers,0,0.6249,1.0
327,c994907abb,"  We were in Lindos, and it absolutely ruled. Will post some pictures somewhere, some time. Back to work today",1,0.0,0.0
340,18eba56565," noboby`s behind. I think I lead with $14,8 so far",1,0.0,0.0
342,ec2ace4113,Whew! Moving commercial-sized freezer and cooler a lot more work than I expected. Missing the HTC roundtable,1,-0.3595,0.0
343,655b313866,"whaaay, first day on my own tomorrow. this should go well",1,0.2732,0.0
355,898c63c69f," I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit",1,0.0,0.0
363,2baf5b012b,Gonna miss the girlys soo super loads! Wish I wasn`t going for 3 weeks! It`s wayy to long,0,0.7639,1.0
368,f2e213b4f8,"TGIF I don`t like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY",0,0.9445,1.0
371,a9d7df2b3f,gosh it`s anoher cloudy day  wish they would go away.. or rain..,0,0.4019,1.0
373,7a631f317c," Hey girl!  Yeah, my allergies kick in at the most random times. Hmph.",0,0.3595,1.0
388,ea47927805,webcam still wont work  evil stuffs.,0,0.5448,1.0
391,c6c1b7a360, Great... I`ll check it when I get off work...  They block Sims at work...,1,-0.4404,0.0
395,612a1d2579, Oooh! goodluck for the rest of them,1,0.0,0.0
405,972dc5787d,_LaMont yr very young looking dude,1,0.0,0.0
406,95cf68d989,"On my way to work, cant be bothered",1,0.2411,0.0
415,be4b907022,Ohh grandpas.. Stable.. Won`t kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite,1,0.0,0.0
422,f66986e868," Sure, its easier to login every day and make posts as an admin or mod, but ill try",1,-0.2846,0.0
427,a916639e42,really want to see JB3D.. cant wait for thursday,1,0.1513,0.0
432,f5c7428d86,still hoping for a job... but now i have strep so looks like i wont be looking around places for the next couple of days,0,0.6775,1.0
450,ca4c090ff4,"33 minutes left before my flannel hobbit shoes get wet  RAIN, PLS GO AWAY!",0,0.3237,1.0
454,39b286912b, not a lot!! im bored! My names Crissy BTW lol How u doinnnn???,0,0.721,1.0
462,18ee7c255c, oh I know. and I aprreciate it  it can be my back up plan,1,0.0,0.0
465,09c7871cad,"chillin on break eatin some grub. pretty burnt out had an eventful day. wanting to go to the movies with Ian, not happening though.",0,0.4939,1.0
469,548b9da461,Great exercise for a Sunday morning: 'stopping the wheel of karma' (R.A.W.) and transforming negativity into love... Life!,1,0.126,0.0
479,03798acf38,"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",1,0.1531,0.0
480,44647b26c0, I told that joke onstage at Butlins in 1991. One person laughed. Scarred for life at 8,0,0.6369,1.0
485,95410148bf,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!",1,-0.3507,0.0
493,8d4c510735, I hope you didn`t take that quote personally!! I`ve been throwing them out here and there all day-guess I shoulda waited a bit,0,0.5399,1.0
495,d60604e27e, you the the Queen of Sass oh Scenie!!!,1,0.0,0.0
504,161f0f7a1a,Waiting for the dang pizza to cook. It`s almost 9 and we still have not eaten wifey fail. Did I mention I feel like ****,0,0.6542,1.0
507,44c1c813a1,"Feeling some butterflies today   Study study study contracts; gonna ace this, then on to the write-on competition for the journals.",1,0.128,0.0
509,be2f1b8fbf,_eyes I wish I knew!  The curse of Tumblr.,1,-0.2714,0.0
511,153d758204,I want to hang out and play!  But I can`t.  Fiddle Faddle on my workload!,0,0.508,1.0
516,b565d92d2c, OMG.  I`m so sorry! Anything I can do to help?,0,0.3073,1.0
521,e5871162f6,Ah! Just remembered some (hopefully good) news is coming (hopefully soon) from someone I know... once again may the *happydance* commence,1,0.0,0.0
532,ac884e436b, I`m not giving up http://bit.ly/SnjEn,1,-0.2584,0.0
539,f47f6473e5,Little one`s cast is taking a beating. It is starting to show some wear and tear and it has been on less than a week. She is too active!,1,-0.1511,0.0
542,0b41bb0441, thanx for showin luv,1,0.0,0.0
544,de99576783,Off to get ready for toms..  gotta go make sure he`s not done anything stupid  ill tweet later.,0,0.5826,1.0
546,7fa727590e, used is definitely cheaper... may have to get later ones that way... but new is ok for now...,0,0.5647,1.0
553,96b48d8e06,I`ve got a dentist`s appointment soon!  The drill feels like I`ve got my brain in a blender - not looking forward to it,0,0.4199,1.0
556,95b1990bcd,Chillin Waitin For My Hunny Baby To Get Out Of Work!!!!!  To Get My Drink On While Finishin Da Song I Have,1,0.0,0.0
564,0d37fdad55,"nervous about going out tomorrow, cos its the first time since my daughter was born, she`s 2!!! HELP",0,0.4954,1.0
577,d66f920dbd,Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,1,0.2263,0.0
581,3ad2079097,Beautiful day on Ocracoke just hope the thunderstorms stay away this afternoon...it`s not looking good,0,0.6591,1.0
596,c6cd5be87e,About to hit the hay. (who came up with that?) goodnight world and all those who inhabit it,1,0.0,0.0
598,76390ef87f, i miss your dance friends too.,0,0.3612,1.0
599,4cfb13f812,is 99% sober at Brittney`s with Becky and Brit  <3,0,0.4404,1.0
603,9d7e06a608,"  Ya, it was pretty bad. Not sure when I will get to go visit. We have been super busy lately.",0,0.3895,1.0
606,a1b5ebab71,"Am i really hyperventilating over my hair???  yes, i most certainly am.",0,0.7125,1.0
610,32ffcb07c4,"My Street Fighter IV skills are lacking, can`t beat Seth on easy.",0,0.5423,1.0
611,2248efe4a0,Currently working on a collab with Alynn Carter called Lost Inside which I`m very excited about,1,0.101,0.0
626,f995f0bd22, mee too it`s looks amazeeeeeee,1,0.0,0.0
629,8469bc26d8,"Yogurting. Home from lady Mona`s, on the fone w no song from Yoplait. Lookin forward to hrs w  tmorrow & rehearsals  Gnight all!",1,-0.3595,0.0
636,11370b4eed,its my birthday.....happy birthday to me!!!!,1,0.0,0.0
637,b37315069b,House hunting for next year= No FUN!,0,0.481,1.0
646,6baa2b379f,_Pritchard how come i dont see more of u? how come i dont see u at all is a better question lol. that needs to change mister! im sad,0,0.4389,1.0
648,1e9bcbdb0b,Don`t really wanna go school on Monday to be honest,0,0.5106,1.0
655,cfd53e56f3,"BTW, Happy Star Wars Day... May the Fourth be with you! ROFLMAO...yes, I know I`m a total dork.",1,-0.3802,0.0
657,c9ba6af3a4,"There go my big plans... thanks, tonsils.",0,0.4404,1.0
667,bfdd1d57b3, I haven`t had a good homemade flour tortilla in ages.,0,0.4404,1.0
670,b2e551b292,Omg. Its 1:47 am and Kim Possible is on Disney Channel right now. I am glued to the screen,1,0.0,0.0
672,322b61740c,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",1,-0.0772,0.0
680,aeb9aaac87,Up was sooo gooooood. Wood ranch bbq time! Dian deng pao.,1,0.0,0.0
695,cf30a8df0a, NEW motorcycle and you POPPED a cable already? wow-you ride HARD!,1,-0.3453,0.0
701,ace08f428a,Listening Maroon 5 .... 'Songs About Jane' is one of my favourite albums in time,1,0.0,0.0
711,248265ffa6,I`m so bunged up!! I Hate colds!!,1,-0.7296,0.0
721,2539862087,haciendo mi primer app con Thin + Rack + some crazy stuff...,1,-0.34,0.0
729,c74dbd622d,_l I got excited when I thought that exhibit was in Sydney. But it`s not,0,0.34,1.0
738,5fbd854b80,i have such a hard time talking to new people -  I am pretty sure I didn`t make a good impression.....,0,0.7906,1.0
742,f54efff9bf,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don`t feel very well right now",0,0.7551,1.0
757,06ed35d428,Sitting outside in the cold by the ocean with a glass of wine.,1,0.0,0.0
758,47c5a5fa73,hope`s she see her bestie today,1,0.0,0.0
760,b582845054, goodmorning,1,0.0,0.0
764,266a175c94," Dude, I miss the 90`s.   btw, the name of my mix is 'Damn the man! Save the 90`s!' hahaha",0,0.6229,1.0
765,97dfbf0197, i wanted to go for my birthday...,1,0.0,0.0
766,92cccacab5, Lol...  Its NOT the same!!!,1,0.0,0.0
771,1e12b8b504, A+ for effort though  http://bit.ly/Mco5v,1,0.0,0.0
776,1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,0.4404,1.0
778,eeca998f37,"I got a text from this guy who I don`t like, and who has the same name as the guy I do! How disapointing!",0,0.4738,1.0
788,6ec8eb9348, Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!,1,-0.3111,0.0
791,09ab7a870e,looks like another sober weekend ahead...,0,0.3612,1.0
796,a9867928fe, Obviously not too bad,0,0.431,1.0
804,b2bea50fa1,": Yeah, I fell asleep  I`m sorry. No way in the world I was waking up @ 7am lol. I had to work @ 9am.",0,0.3612,1.0
805,14211a155e,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,1,0.0,0.0
812,95dc9926b8,   Oh Duh....I see that now .....thank you....,1,0.0,0.0
815,2094697870,Spent the night finally relaxing with Nogard on WoW after finishing some work Needed to take a small break from art. I really missed this,0,0.6712,1.0
824,81f3ac4452,4th may officially announced as `bad luck day` ..,0,0.4588,1.0
833,008881f5c5,Found out earlier today that I`m going to be an Uncle,1,0.0,0.0
834,a4d9ee1aac,In a really Good mood for absolutely no reason  tee her,1,0.1779,0.0
840,fd9fb4f1ad,i realy wanted to go out cause its so nice but everybodys busy,0,0.32,1.0
841,f00bd4ea4e, aww thanx andy,1,0.0,0.0
847,251f00e386,"Have to leave to meet  now. I`m looking forward to seeing him, but I`m so not done what I wanted to. Boo-urns. Wish I was @ work.",0,0.5346,1.0
850,4560f11d7a,Disneyland was a blast yesterday now back to work,1,0.0,0.0
855,47b747a1d7,I`m gettin ready for my trip back to MA...  I don`t wanna leave!,0,0.3802,1.0
865,e6bb7b3a91, Hi Sharon Missed you on our x factor last year!!  Come Back!! x,1,-0.5216,0.0
868,a979977b59,http://twitpic.com/66ydb -  I made sure you got credit at the end of the book...I`m sure I forgot people though.,0,0.7351,1.0
872,b568eb06b4,wishes people wouldn`t be so stubborn sometimes.,1,-0.4388,0.0
881,a91c5b33d1, The sight of it made my afternoon,1,0.0,0.0
885,94e0366b6d, http://twitpic.com/4u5h8 - leon looks supa` fly on that mini couch,1,0.0,0.0
887,c10f1d2c6c,Listening to Weightless by All Time Low. Thanks to  for making me listening to it!,1,0.2714,0.0
893,b524433af3,At home about to go to sleep! Goodnight twitter world!,1,0.0,0.0
896,9fa91c181c,Looks like my Twitter is down,0,0.3612,1.0
918,b355ecc126,im pretty sure i miss watching 'Yo Gabba Gabba' with my niece,0,0.5994,1.0
928,320d33101f,goodnight!!!,1,0.0,0.0
934,1fbb7596da,Castiel is loveeeeeeeeeeeeeeeeeeeeee,1,0.0,0.0
957,e6b8d99c39,Boy is going to a movie. I wish I didn`t feel like ****.,0,0.6369,1.0
958,b82c25fa5e, awe...Thank you Jon!,1,0.0,0.0
964,63b90cf8f7,"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!",0,0.793,1.0
976,31abe40daf, sorry about your sadness   nitenite love,1,0.25,0.0
982,e20b1cc3f7,Chillin on here,1,0.0,0.0
989,75b7273395,In this exact moment i have decided that in some point in my life.. i am going to adopt a child,1,0.1779,0.0
993,a0a259ac0e," harrump gagging for beer, noone wants to play",0,0.34,1.0
996,a44fe21504, Go the bubble bath!!!  Always relaxing.......,1,0.0,0.0
1002,7a50920dd7,just made a cake for mi madre  i`m goooooddd!,1,0.0,0.0
1015,f0be9dbc01,At my rehearsal...gonna miss the game  please keep me updated! Go Nuggets!,0,0.3147,1.0
1017,9bd178a668, yeahh  idk if i like owen anymore though... i kinda lost respect for him in an episode i recorded...,0,0.4432,1.0
1018,5010f92b03,Took a shift tomorrow.    I don`t really feel like working right now.,0,0.4173,1.0
1020,8c1c2b26a4,always excited for a new chapter in my life. just didnt expect it to be so emotional.,0,0.5448,1.0
1027,6f61c948ea,"I am increasingly convinced that I am moderately lactose-intolerant - given my deep and abiding love of cheese, this totally sucks",0,0.6258,1.0
1041,7ae4f41a31,Download movie  Notorious http://tinyurl.com/d2u4gs cool #movie,1,-0.1531,0.0
1045,36f2676006,"_Kaufer You cant argue w/them, as they actually have zero things to complain about so they make stuff up",1,-0.119,0.0
1046,c584919516, I think that plus everyone wants to see if the D-train could keep it going - obviously not.  Hopefully he`ll bounce back.,1,-0.3089,0.0
1055,d688e44ab7,can`t wait to make that call tomorrow. gotta keep moving forward!,1,0.0,0.0
1057,5a67d1f1b6, The episode was AMAZING...I cried when I saw the home videos they were soooooo cute,1,0.1027,0.0
1061,b5a5da9be4,so wanted to go to the Basshunter concert tonight.  so so so wanted to.,1,0.0,0.0
1068,098943a055,it always rains right after i get my car washed,1,0.0,0.0
1069,74cb0d43dd, omg in your pic youu look so cuute !,1,0.0,0.0
1072,48fbbeab77,"OMG-ness it`s 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I`m beat.",0,0.4019,1.0
1082,696a2abd8a,never trust someone else`s battery operated power tools when you`re in a hurry,1,-0.4023,0.0
1106,3a00255dba,my twitter looks funny  someone help!,0,0.7088,1.0
1113,63d0fdd158,"still fighting off this cold, ugh",1,-0.6486,0.0
1118,2315484618,"Star Wars day? I didn`t know there was a such thing  May the force, be with you <3",1,-0.1779,0.0
1135,f3a7921bf3, yeah! but too late  lol,0,0.68,1.0
1140,10b5f7786a," I wish I was! well, for the past hour I have been. But before that I was in bed. Proper migraine!",0,0.658,1.0
1148,d6933febc3, whuahahhaha you need to cut down on them Bram Ladages/Applejacks/pancakes,1,-0.2732,0.0
1151,688d707e07,Cleaned. Laundry. Nails painted. Productive saturday night,1,0.0,0.0
1155,93d5d0038c,"Watching NHL playoff Game1 tomorrow night if anyone is interested, and I know that none of you are.",0,0.4019,1.0
1159,b4e7391d34,"'Isn`t she lovely? Isn`t she beautiful?' Sorry Stevie, you`re not really in a position to make that judgement  #steviewonder",0,0.594,1.0
1160,1c6be5f128, Cant wait && Cant wait to see the 3d concert experience (i live in the uk) the was the trailer at the cinema yesterday.,1,0.0,0.0
1163,6e6f31e8fe,"_Guy In the past it was ok but since iÃ¯Â¿Â½ve got my own appartment, my own car........itÃ¯Â¿Â½s very difficult to save the money",0,0.3831,1.0
1167,8b5b644f36,TIRED! goodnight twitter  its mother`s day  happy mother`s day  lov my moomy <3 yayy! God Bless.,0,0.8152,1.0
1172,8cf3908017, I`m trying really hard not to hate you.,0,0.3193,1.0
1176,79f4e2fe31, I miss u like cotton candy  <3,0,0.5859,1.0
1188,021fba6152, Awww... It works ok for me.. but I have an apple laptop so it might be a little difference!!,1,0.2924,0.0
1202,42f23c1add,I wish I could be AT work as opposed to being wit the kids cuz it`s the hardest job eva,0,0.4019,1.0
1209,f145992965, I am definitely ready... actually ahead of you... I already have a sun tan and I was out at the beach yesterday.,0,0.4019,1.0
1210,f86533eda4,I nvr wanted May to come to an end,1,0.0,0.0
1213,b61a1eab3d," Dinner done, shower done, now time to chill with block of chocolate",1,-0.4404,0.0
1219,c2bdf76265,just got back from my exam... im surely gonna fail...now trying 2 get tickets 4 il divo! someone doesnt want us 2b there!!!,0,0.5921,1.0
1220,f2954076a0,looking forward to coffee and driving tomorrow. really,1,0.0,0.0
1221,fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),1,0.0,0.0
1222,9c44566550,"In Whin Park on the swings, victory is all mine right now",1,0.0,0.0
1223,c1f95024cb," Think wearing bermudas at the cinema wasn`t a good idea after all, but outside was humid like cwazy!",0,0.6696,1.0
1228,98c9ef21a5,"i had a dream last night, and i was singing  first avid dream of myself crooning away!",0,0.6696,1.0
1239,d7f2a33524,ive burned like a ginger kid in the sun. now my arms are red,0,0.3612,1.0
1242,102beca4e0, also just spoke to my <3...              Ã¯Â¿Â½tearÃ¯Â¿Â½,1,0.0,0.0
1248,c2645bfd2f,ano pa bang aasahan ko sa iyo? you never fail to FAIL me.,0,0.7385,1.0
1250,3e188a0b29, If it makes you feel better I lost 10 overnight cause I posted a picture of a baby,1,0.1531,0.0
1264,b09aab17c1,Watching Oceans 11 in Vegas - seems so appropriate,1,0.0,0.0
1265,7047ab2830,wishing I were somewhere else besides here!!  Don`t worry this won`t dampen my day and neither will the rain,1,-0.3786,0.0
1278,85dbab0a1d,_DESIGN allright! Looking forward to it..,1,0.0,0.0
1287,751a461d27,_StrayCat I sorry!!  Me no like when people I like don`t feel well. Your tummy?,0,0.6351,1.0
1289,85d6f19317,No one loves me  Brittany forgot my flowers...,0,0.3612,1.0
1291,a089b92224, I`m not having a good day... can u cheer me up with a tweet?  Even Tink will do. LOL.,0,0.6627,1.0
1294,ffad1cb5be,!!! Tell us your experience! I Loveeeee Youu!,1,0.0,0.0
1295,5714d8c2c3,  Goodnight.,1,0.0,0.0
1300,e9f20ee0a6,Last day for seniors bye bff,0,0.5994,1.0
1305,9cd9fb7b40,Just had an amazinq qirls-niqht-out. I quess its always qreat to have an excuse to wear tiny dresses & heels,1,0.0772,0.0
1312,4d3de34efa, Hey! r u back in La right now?What was ur favorite part bout Europe? I`ve never been out of the country xcept Canada  XO Jenna,0,0.565,1.0
1313,9843c4688e, hahaa your awesomee !,1,0.0,0.0
1314,ff29b26f71,Just five more days. Five more long days. Ahh!,1,0.0,0.0
1316,3463ecdfd6,Im.in.the.room Im.watching.the.HANNAHmovie.withMOM.She.said.this.film.very.great.,1,0.0,0.0
1323,10b078951f,Things aren`t just as easy and simple as they seem to be.,0,0.4404,1.0
1332,29a6fac317,"Hehe, wondered wtf star wars day was and why it was the top trending topic. Now I get it.  May the Fourth be with you, also.",1,-0.765,0.0
1342,1a862634b2,Its chilly n lonley n this livingroom,1,0.0,0.0
1346,399d9ef688, I need one too.,1,0.0,0.0
1354,24ae2fcb0b, http://twitpic.com/624qo - but a brown snake bit my duck named Elvis  anyway ahaha Elvis is soo cutee!! And so is Nicho ...,1,0.0,0.0
1363,d67edb73e6,Only 1 tweet in the last 24 hours?  Nobody likes my tweetboard,0,0.4215,1.0
1365,8255b23e72,I`m not ready for my baby to be 3 tomorrow  she is growing so fast....,1,-0.1053,0.0
1366,837fad9123," **Jaw Drops** **Gasp** Whatever do u mean? I`m as sweet as pie  Allow me to re-introduce myself, I`m Coach & I`m a Cancer & u?",1,-0.2168,0.0
1373,de81efb359," Don`t worry, you`ll get your stamina back soon  What kind of distances do you run usually?",1,-0.1779,0.0
1381,38e6ac71c6,i really want to ring  but it costs 2 much  dam you credit crunch,0,0.5714,1.0
1399,d3cbef0a68, I know  I think I`m like dieing!,0,0.4199,1.0
1400,b32e53af9e,I think I love a part of me saying some cynical words. Even though I smile when I say them. Do you think it`s bad?,1,0.1531,0.0
1402,5a91b175f6,", goodnight",1,0.0,0.0
1419,53053f3bff,i`m pretty bored/tried. my mom is going to be home in an hour.  is fixing to leave. aww...  she`s going to texas for a month..,0,0.4588,1.0
1424,99b95fe7fa,wants to go home and see Erin,1,0.0,0.0
1438,5655c50f42,Great find   http://amanita-design.net/samorost-1/,0,0.6249,1.0
1443,3d0896ec67, you can put a saucepan full of water on the cooker to heat up the water...indian style  scrabbled are the best!!!!,1,0.0,0.0
1444,feea5525dc,Down again   seems like it never gonna stop and I`ll never get what i want,0,0.4881,1.0
1459,fd98097a71, Since the demise of Woolworths it isn`t easy to find reasonably priced pick n mix anywhere,0,0.4404,1.0
1466,11fff26b21,"Good thing is: They have a computer. Bad thing is: It blocks ALL VIDJAGAME SITES! Yes, even VGTribune.com is blocked!",1,-0.3578,0.0
1475,31098bb260,wishes he had realized his wife hadn`t held onto the debit card before he took a long walk to get lunch and not after.  GRRR!,0,0.4079,1.0
1480,cf3b5b1730, won`t need my hugs anymore,0,0.4939,1.0
1488,948841b0e3,Today was eventful...,1,0.0,0.0
1494,b0e946fd3e,"_skies You got me singing Falling in Love now. Only, I`m changing the week day to Saturday. Doesn`t quite fit.",0,0.7501,1.0
1504,356411fd5a,#thingsmummysaid You need to learn to wash dishes and do laundry because I won`t always be here to do them for you. She was right,1,0.0,0.0
1510,4b34697ec5,sad.. Daniel is leaving Florida now.. just gave him a big hug,0,0.4767,1.0
1524,c8dfc591ec," I can`t seem to find it, can you send it to me again please  oh and tag it too lol",0,0.6249,1.0
1527,6bb8a82c31,omg i just slept like 18hrs in the last 22hrs...  i think i`m dying or something   reminds me of catcher,0,0.3612,1.0
1540,0f22984306,"Today, i did`t have lunch, cuz wel i embarrass my self with all 'school'  ok, FINAL TESTS and FINAL YEAR aaaaa! thanx God 4 That friends!",0,0.6988,1.0
1542,7d088f5ad4,YEHEY SUMMER!!  so exciteeeddd.. balme it on the a-a-a-a-a-alcohol.,1,0.0,0.0
1549,575e4a89fe, tts ridiculously sweet of you,1,0.1531,0.0
1551,e65b2f93f2,is snuggled in bed reading,1,0.0,0.0
1568,8326a50f87,"Darn it, I`m craving wedding cake... a craving that`s very hard to satisfy with anything else!",0,0.4334,1.0
1570,afe06bd420,"I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place",0,0.34,1.0
1600,827d246ca2," I just retweeted your jesus post as it made me laugh... don`t worry, wasn`t a subliminal code",1,-0.4404,0.0
1601,df7c51d8ba,_juansimon God I`m bored. Wish we could`ve done something 2night!,0,0.4574,1.0
1606,07515af923,_hay The Twitter Happiness score for sw00p is: 418. http://happytweets.com I think I dropped by 1 point since yesterday.,0,0.5574,1.0
1608,3f954203e6,Fishing on WoW while listening to ska on Pandora. Such a lazy Sunday morning,0,0.3182,1.0
1620,7b9f3f4f39," aww if I could, I would...  GBY ;)",1,0.2263,0.0
1621,3399ed22b8,Morning. Forgot my daily booth yesterday.. shocking! I want to sit in the garden today and read but we have a huge bees nest,0,0.3699,1.0
1634,9965c5a810,"Not at prom. Ha! Chinese, iced chai, and some old school pokemon. Good night",1,0.286,0.0
1644,2bb1def4f9, Ahh dang of course it had to do that  She better e-mail you back fast!,0,0.4926,1.0
1647,a719156c49, cause my eyelids are not deep set.  thanks it would help me a lot.,1,0.0757,0.0
1649,836033d745,The parking meter computed 25 plus 25 is 40. I got jipped! And the 10 free minute button didn`t work.,0,0.5562,1.0
1651,3af4fc19aa, i know  i`m tweeting more now though don`t you worry!! haha i wish i could fly to ohio! i saw beyonce on monday uhmygawddd!,0,0.6083,1.0
1653,6c4bedb84d,Goooosh! Someone payed my LastFM subscription  ^^,1,0.0,0.0
1663,23e6219d6a,Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,0,0.6597,1.0
1670,1a53372c8f,"Good night all... Just set this twitter thing up. I`m very new at this, but I expect it to come in handy.",1,0.2382,0.0
1676,6ff99dcdc1,finally made it to the QC...happy mother`s day!  got my car!!,1,0.0,0.0
1678,14193ff01c,5 things this Twitterer could do without  http://MikeFrizzi.com/blog/?p=192 SRC  / I like this guy.,1,-0.2755,0.0
1685,05e2e6249b,"yesterday was fun.. 1st concert of the year [i know, i`m late xD].. buena vista social club live FOR FREE..",1,0.0,0.0
1688,0fb72945f7,_devi thankyou. i wont but you know,1,0.0,0.0
1689,32801e603b, man i need 2 find a siitter Val still aint **** wit me  LOL,0,0.5473,1.0
1691,5c4a6118f2,Anotha day of work  not lookin forward i hate closin fri,0,0.4585,1.0
1692,6bed719d7a,Made it to Wisconsin... Now off to Golden Corral again! dang! lol we missed the graduation! tho  Dang!,0,0.4153,1.0
1700,4c0e5429a0," haha, sorry, it`s past my bedtime",0,0.4019,1.0
1703,274181e2e2,thanx ,1,0.0,0.0
1705,b7292eb73c," No nothing wrong with thinking he`s hot, but he belongs to me",1,0.0457,0.0
1711,6122e9ce9d," totally forgot about the dgree show et al. Now ensconced in home, wine and ready for bed",0,0.3612,1.0
